id,title,is_paid,price,headline,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,published_time,last_update_date,category,subcategory,topic,language,course_url,instructor_name,instructor_url
4715.0,Online Vegan Vegetarian Cooking School,True,24.99,"Learn to cook delicious vegan recipes. Filmed over 15 years ago, watch the first 2hrs FREE to see if it's right for you.",2231.0,3.75,134.0,42.0,37.0,1268.0,2010-08-05T22:06:13Z,2020-11-06,Lifestyle,Food & Beverage,Vegan Cooking,English,/course/vegan-vegetarian-cooking-school/,Angela Poch,/user/angelapoch/
1769.0,The Lean Startup Talk at Stanford E-Corner,False,0.0,"Debunking Myths of Entrepreneurship A startup is not a ""doll house"" version of a larger enterprise.",26474.0,4.5,709.0,112.0,9.0,88.0,2010-01-12T18:09:46Z,,Business,Entrepreneurship,Lean Startup,English,/course/the-lean-startup-debunking-myths-of-entrepreneurship/,Eric Ries,/user/ericries/
5664.0,"How To Become a Vegan, Vegetarian, or Flexitarian",True,19.99,Get the tools you need for a lifestyle change that will bring you health and a clear conscience.,1713.0,4.4,41.0,13.0,14.0,82.0,2010-10-13T18:07:17Z,2019-10-09,Lifestyle,Other Lifestyle,Vegan Cooking,English,/course/see-my-personal-motivation-for-becoming-vegetarian/,Angela Poch,/user/angelapoch/
7723.0,How to Train a Puppy,True,199.99,"Train your puppy the right way with Dr. Ian Dunbar. Includes 13 videos, 4 books, and 16 behavior blueprints.",4988.0,4.8,395.0,88.0,36.0,1511.0,2011-06-20T20:08:38Z,2016-01-13,Lifestyle,Pet Care & Training,Pet Training,English,/course/complete-dunbar-collection/,Ian Dunbar,/user/ian-dunbar/
8157.0,Web Design from the Ground Up,True,159.99,"Learn web design online: Everything you need to know about XHTML and CSS, the basic building blocks of web design.",1266.0,4.75,38.0,12.0,38.0,569.0,2011-06-23T18:31:20Z,,Design,Web Design,Web Design,English,/course/web-design-from-the-ground-up/,E Learning Lab,/user/edwin-ang-2/
8139.0,14-Day Yoga Detox and Empowerment Course,True,29.99,"Lose weight, get healthier and fit on all levels in just 14 days with Sadie Nardini",20505.0,4.5301204,796.0,135.0,31.0,1163.0,2011-07-15T04:13:24Z,2018-05-22,Health & Fitness,Yoga,Yoga,English,/course/yoga-for-weight-loss-and-core-strength-with-sadie-nardini/,Sadie Nardini,/user/sadienardini/
2762.0,Simple Strategy for Swing Trading the Stock Market,True,39.99,Use my favorite Technical Indicator and the Trading Strategy I've developed for Swing Trading Stocks,3309.0,3.85,958.0,241.0,8.0,80.0,2010-04-14T16:32:46Z,2019-03-07,Finance & Accounting,Investing & Trading,Swing Trading,English,/course/swing-trading-the-stock-market/,Tom Watson,/user/tomwatson/
8082.0,Ruby Programming for Beginners,True,74.99,Learn Ruby Programming the fast and easy way!,28824.0,4.0,741.0,189.0,56.0,363.0,2011-07-08T21:32:55Z,2022-09-26,Development,Programming Languages,Ruby,English,/course/learn-ruby-programming-in-ten-easy-steps/,Huw Collingbourne,/user/huwcollingbourne/
8075.0,How to Create an Awesome Demo Video for Your Business,True,149.99,You don't need to spend $10K in order to have a professional video produced. Learn to make one yourself the easy way!,10761.0,3.9,349.0,101.0,87.0,526.0,2011-07-06T14:06:34Z,2020-11-22,Business,Media,Demo Video,English,/course/how-to-create-awesome-demo-videos/,Miguel Hernandez,/user/miguelhernandez/
8069.0,Curso SEO Online,True,99.99,Curso SEO práctico. Aprenda a posicionar su sitio web en los primeros puestos de los buscadores,483.0,4.65,100.0,45.0,73.0,373.0,2012-07-03T17:03:28Z,2020-02-28,Marketing,Search Engine Optimization,SEO,Spanish,/course/curso-de-posicionamiento-en-buscadores-seo/,Juan Jose Ramos,/user/juanjo-ramos/
8318.0,Navigating the MBA Admissions Process,True,49.99,MBA Admission: The Complete Course on How to Get into Business School.,794.0,4.1,27.0,16.0,10.0,236.0,2011-07-12T04:11:59Z,,Teaching & Academics,Teacher Training,MBA Admissions,English,/course/business-school/,Clear Admit & Beat The GMAT,/user/clearadmitbeatthegmat/
8422.0,Kundalini Yoga to Heal Stress and Anxiety by Valinda~Viriam,True,49.99,Kundalini Yoga is highly effective simple yoga style that transforms a person quickly & effectively in just 30 minutes!,1322.0,4.45,196.0,76.0,5.0,140.0,2012-09-12T23:47:03Z,,Health & Fitness,Yoga,Kundalini,English,/course/kundalini-yoga-to-heal-stress-and-anxiety-by-valindaviriam/,Valinda Cochella,/user/viriamkaur/
8416.0,Beginners - How To Create iPhone And iPad Apps - Zero Coding,True,49.99,Learn How To Create IOS Apps And Never Do A Hard Days Work Again - Zero Coding Needed ,2058.0,3.65,25.0,8.0,81.0,459.0,2011-07-06T23:45:18Z,2017-01-09,Development,Mobile Development,iOS Development,English,/course/beginners-guide-to-iphone-ipad-app-creation/,Infinite Skills,/user/infiniteskills/
8420.0,CCNP ROUTE 300-101 Video Boot Camp With Chris Bryant,True,19.99,Pass The CCNP ROUTE 300-101 Exam With Chris Bryant -- AND Prepare For Real-World Networking Success!,4454.0,4.35,829.0,147.0,230.0,1813.0,2011-07-23T23:43:34Z,2017-10-21,IT & Software,IT Certifications,CCNP Enterprise,English,/course/ccnp-route-on-demand-video-boot-camp/,Chris Bryant,/user/chrisbryant/
8324.0,Javascript for Beginners,True,19.99,Learn javascript online and supercharge your web design with this Javascript for beginners training course.,9714.0,4.4083886,1081.0,194.0,48.0,183.0,2011-07-09T05:43:31Z,2020-10-03,Development,Web Development,JavaScript,English,/course/beginning-javascript/,Dollar Design School,/user/marklassoff/
8467.0,The Lean Startup,True,39.99,Learn how to apply the method that is transforming how new products are built and launched.,5566.0,4.1666665,720.0,163.0,6.0,158.0,2011-07-11T06:29:02Z,,Business,Entrepreneurship,Lean Startup,English,/course/the-lean-startup/,Eric Ries,/user/ericries/
8471.0,Healthy Cooking Fundamentals,True,29.99,"Cathy Erway, a noted New York based chef, author and foodie, teaches you easy and healthy recipes.",505.0,3.25,24.0,3.0,19.0,148.0,2011-07-18T23:54:24Z,,Lifestyle,Food & Beverage,Cooking,English,/course/healthy-cooking-fundamentals/,Cathy Erway,/user/cathyerway2/
8319.0,Git Basics: In Theory and Practice,True,19.99,Learn Effective Source Control Management with Git. Taught by Tony Hillerson. Learn how to use Git practically. ,296.0,3.75,13.0,8.0,31.0,454.0,2011-07-29T20:24:56Z,,Development,Software Development Tools,Git,English,/course/git-in-theory-and-in-practice/,Tony Hillerson,/user/tonyhillerson/
8410.0,Intro to Adobe InDesign,True,24.99,Learn Adobe InDesign with design expert Joseph Caserto,2069.0,4.1,172.0,63.0,53.0,359.0,2011-07-29T10:08:39Z,2013-02-28,Design,Design Tools,InDesign,English,/course/intro-to-adobe-indesign/,Joseph Caserto,/user/josephcaserto2/
8629.0,Chemistry Funda ( From Basics to Pre university ) Part 1,True,34.99,Fundamental High School chemistry Part 1,11.0,0.0,0.0,0.0,8.0,152.0,2011-07-18T06:54:02Z,2022-05-12,Teaching & Academics,Science,Chemistry,English,/course/chemistry-funda-from-basics-to-pre-university-part-1/,Dr Anup Sharma,/user/anupsharma/
8776.0,CCNP TSHOOT 300-135 2019 Video Boot Camp with Chris Bryant,True,19.99,Pass The CCNP TSHOOT Exam With Chris Bryant -- AND Prepare For Real-World Network Troubleshooting Success!,3192.0,4.4,366.0,59.0,260.0,1626.0,2011-08-03T13:52:49Z,2017-10-21,IT & Software,IT Certifications,CCNP Enterprise,English,/course/ccnp-tshoot-instant-boot-camp/,Chris Bryant,/user/chrisbryant/
8814.0,Creating Responsive Web Design,True,19.99,Learn how to optimize your webpages for different screen sizes and platforms.,40979.0,4.236842,533.0,134.0,33.0,203.0,2011-08-08T23:59:47Z,2014-10-16,Design,Web Design,Responsive Design,English,/course/creating-responsive-web-design/,Chris Converse,/user/chrisconverse2/
8746.0,CCNP SWITCH 300-115 Video Boot Camp With Chris Bryant,True,19.99,Pass The CCNP SWITCH 300-115 Exam With Chris Bryant -- AND Prepare For Real-World Networking Success!,3934.0,4.65,764.0,132.0,245.0,1744.0,2011-07-28T01:11:12Z,2018-08-05,IT & Software,IT Certifications,CCNP Enterprise,English,/course/ccnp-switch-video-boot-camp/,Chris Bryant,/user/chrisbryant/
8621.0,Apps for Librarians & Educators,True,89.99,Become an expert in the best mobile apps for education and content creation.,388.0,3.6,20.0,6.0,64.0,178.0,2011-08-13T15:55:51Z,2017-06-29,Teaching & Academics,Teacher Training,Productivity Apps,English,/course/apps4librarians/,Nicole Hennig,/user/nicolehennig/
8812.0,Become a Wine Connoisseur,True,24.99,Learn about wine from vine to table from the experts at Palate Press.,240.0,4.3,24.0,8.0,5.0,215.0,2011-08-08T23:56:58Z,,Lifestyle,Food & Beverage,Wine Appreciation and Oenology,English,/course/get-wine-savvy/,Palate Press,/user/palatepress/
9071.0,Kinesiology Taping - Self application course,True,44.99,Learn to apply Kinesiology tape to yourself or family/friends/patients.,880.0,4.2,274.0,79.0,26.0,141.0,2016-03-31T15:42:33Z,2020-02-17,Health & Fitness,General Health,Kinesiology Taping,English,/course/kinesiology-taping/,Chris Kinch,/user/kinesiologytapeaustralia/
8874.0,AutoCAD Tutorial,True,94.99,An innovative AutoCAD course that will help you learn AutoCAD quickly and effectively.,320.0,4.2,20.0,2.0,33.0,220.0,2011-09-13T08:27:06Z,,Design,Design Tools,AutoCAD,English,/course/autocad-tutorialbay/,Mepi.pl Video Tutorials,/user/bartoszbarlowski/
9061.0,CCNP ROUTE 2018 Free Video Boot Camp:  BGP Success,False,0.0,Get Ready For CCNP ROUTE And TSHOOT Exam Success With This 100%-Free Video Boot Camp From Chris Bryant!,44323.0,4.5,1541.0,261.0,7.0,54.0,2011-08-12T16:50:53Z,2015-12-22,IT & Software,IT Certifications,CCNP Enterprise,English,/course/ccnp-route-boot-camp-redistribution-and-ospf-stub-areas/,Chris Bryant,/user/chrisbryant/
8849.0,Speak Up! Stand Out and be HAPPY,True,44.99,"Polish your communication skills by learning simple techniques + easy adjustments to your mind, voice + body.",7791.0,4.6,545.0,149.0,26.0,176.0,2011-08-22T01:55:25Z,2020-03-20,Business,Communication,Public Speaking,English,/course/speak-up/,Alexa Fischer,/user/alexafischer/
9287.0,Microsoft Excel 2010 Course Beginners/ Intermediate Training,True,49.99,Learn to Invoke the Power of Microsoft Excel in easy to follow stages,69264.0,4.423077,2360.0,699.0,126.0,556.0,2011-08-24T00:13:46Z,2017-01-09,Office Productivity,Microsoft,Excel,English,/course/excel-tutorial/,Infinite Skills,/user/infiniteskills/
9224.0,Learn How to Get Your First Million Users,True,19.99,This course will teach you how to find all viral elements in your product and then use them to gain millions of users,132.0,3.25,14.0,5.0,14.0,60.0,2013-02-18T16:39:43Z,2013-02-26,Marketing,Digital Marketing,Growth Hacking,English,/course/learn-how-to-get-your-first-million-users2/,Michael Geer,/user/mikegeer/
9327.0,Learn Serbian 102,True,49.99,"Perfect for false beginners in Serbian, Bosnian, Croatian, Montenegrin. It covers all essential situations and grammar.",122.0,4.45,14.0,4.0,64.0,273.0,2011-09-03T10:21:02Z,2018-07-31,Teaching & Academics,Language Learning,Serbian Language,English,/course/serbian-202/,Marina Petrovic,/user/marinapetrovic/
